Changes_20181109_1159_-Gen5_Kombi-03_Prod_Dev-20_Specifications-10_Customer_Requirements-Consolidated-40_Requirements_-_Functions_3.1_sv,AccStateCurrentConsolidation_sv,OEM_ID_sv,Comparison with '/Gen5_Kombi/03_Prod_Dev/20_Specifications/10_Customer_Requirements/Consolidated/40_Requirements_-_Functions' version: 3.1,FSM,English_sv,Function_sv
unchanged,NRQ,40_21327,"Beispiel für MSA-Zähler:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Example of MSA counters:,TBD
unchanged,CON,40_13079,Der MSA-Zähler wird dreistufig angezeigt:,non-FS,The MSA counter is three-stage displayed:,TBD
unchanged,CON,40_13083,"mm:ss [min],                                     bis 59 min und 59 sec: ",non-FS,"mm: ss [min], to 59 min and 59 seconds:",TBD
unchanged,NRQ,40_17594," 
160113_VSN_Revison_26836",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>160113_VSN_Revison_26836,TBD
unchanged,CON,40_13084,"hh:mm:ss [Std],        	       ab 1 Std  bis 23 Std 59 min 59 sec",non-FS,"HH: mm: ss [Std], from 1 Std to 23 Std 59 min 59 seconds",TBD
unchanged,NRQ,40_17595," 
160113_VSN_Revison_26836 Einheit/23 überarbeitet",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>160113_VSN_Revison_26836 Einheit/23 reworks,TBD
unchanged,CON,40_17592,"tt [Tag] hh:mm:ss [Std],  ab 1 Tag bis 99 Tage 23 Std 59 min 59 sec",non-FS,"tt [day] HH: mm: ss [Std], from 1 day until 99 days 23 Std 59 min 59 seconds",TBD
unchanged,NRQ,40_17596," 
160113_VSN_Revison_26836 erweitert um der Darstellung der Sekunden, 23 überarbeitet",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>160113_VSN_Revison_26836 extension by the representation of the seconds, 23 reworks",TBD
unchanged,NRQ,40_21408,z.B.:  ,non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>e.g.:,TBD
unchanged,CON,40_13085,Mit der Kodiervariablen HMI_MSA_COUNTER_ENABLE = 1 wird der MSA-Zähler angezeigt.,non-FS,With the coding variable HMI_MSA_COUNTER_ENABLE = 1 is displayed the MSA counter.,TBD
unchanged,CON,40_17598,"Die Einheiten des MSA-Counters werden PIA-sprachabhängig bei Kodierung von PIA_KI_SPRACHE == ""deutsch"" folgendermaßen dargestellt:
(Tag/Tage, Std, min, sek)",non-FS,"The units of the MSA Counters are represented as follows PIA language-dependently in coding of PIA_KI_SPRACHE == “German”:
(Day/days, Std, min, sek)",TBD
unchanged,CON,40_21407,"Die Einheiten des MSA-Counters werden PIA-sprachabhängig bei Kodierung von PIA_KI_SPRACHE != ""deutsch"" (alle Sprachen außer deutsch) folgendermaßen dargestellt:
(d, h, m, s)",non-FS,"The units of the MSA Counters become PIA language-dependently PIA_KI_SPRACHE in coding of! = “German” (all languages apart from German) as follows represented:
(D, h, m, s)",TBD
unchanged,CON,40_13086,Die Anzeige des MSA-Zählers wird synchron zur READY-Anzeige (51_13099) animiert dargestellt.  ,non-FS,The display of the MSA counter is represented synchronously animated to the ready display (51_13099).,TBD
unchanged,CON,40_21328,"Die Anzeige des MSA-Zählers wird synchron zum Zustand ""Zeiger in der rechten Tube ist auf READY-Position"" dargestellt.",non-FS,The display of the MSA counter synchronously to the state “pointer in the right tube is on ready item” represented.,TBD
unchanged,CON,40_21073,Der MSA-Counter überblendet die Bonusreichweite.,non-FS,The MSA Counter dissolves the bonus range.,TBD
unchanged,CON,40_21368,Im FES Modus Comfort muss der Counter im Hintergrund weiter berechnet werden.,non-FS,In the FES mode Comfort must be further calculated the Counter in the background.,TBD
unchanged,CON,40_13105,Der MSA-Zähler wird für mindestens 3 [sec] angezeigt.,non-FS,The MSA counter is displayed for at least 3 [seconds].,TBD
unchanged,CON,40_13087,"Der MSA-Zähler wird angezeigt, wenn folgende Bedingungen erfüllt sind:",non-FS,"The MSA counter is displayed, if the following conditions are fulfilled:",TBD
unchanged,CON,40_13088,"HMI_MSA_COUNTER_ENABLE = 1	",non-FS,HMI_MSA_COUNTER_ENABLE = 1,TBD
unchanged,CON,40_13693,"UND
ab PRUEFEN",non-FS,"AND
starting from CHECKING",TBD
unchanged,CON,40_13089,"UND
READY angezeigt",non-FS,"AND
READY displayed",TBD
unchanged,CON,40_13090,ansonsten keine Anzeige des MSA-Zählers.,non-FS,otherwise no display of the MSA counter.,TBD
unchanged,NRQ,40_13094,14.8.46.3 Anzeige des MSA-Zählers,non-FS,Display of the MSA counter,TBD
unchanged,NRQ,40_13095," 
160113_VSN_Revison_26836",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>160113_VSN_Revison_26836,TBD
unchanged,NRQ,40_21332,"Beispiel des MSA-Zählers:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Example of the MSA counter:,TBD
unchanged,NRQ,40_13970,14.8.47 eDRIVE-Zähler in der 'kombinierten Verbrauchsanzeige PHEV',non-FS,EDRIVE counters in “combined consumption gauge PHEV”,TBD
unchanged,NRQ,40_13972,Querverweis 'eDRIVE-Zähler',non-FS,Cross reference “eDRIVE counter”,TBD
unchanged,NRQ,40_13973,14.8.47.1 CAF / Herstellerdaten / SW-Parameter,non-FS,CAF/manufacturer data/SW-parameters,TBD
unchanged,NRQ,40_13974,14.8.47.1.1 CAF,non-FS,CAF,TBD
unchanged,CON,40_18944,"HMI_EDRIVE_COUNTER_ENABLE
Default:	0b (keine Anzeige) 
		0b: keine Anzeige
		1b: Anzeige aktiv",non-FS,"HMI_EDRIVE_COUNTER_ENABLE
Default: 0b (no display) 
0b: no display
1b: Display actively",TBD
unchanged,NRQ,40_14009,14.8.47.2 BUS,non-FS,BUS,TBD
unchanged,NRQ,40_14010,14.8.47.2.1 CAN BUS Eingang,non-FS,CAN BUS input,TBD
unchanged,CON,40_14011,"Anzeige Zustand Hybrid (DISP_CON_HYB, 3ADh) ",non-FS,"Display state hybrid (DISP_CON_HYB, 3ADh)",TBD
unchanged,CON,40_14012,"Anzeige_Betriebsart_Antrieb_Hybrid  
	DISP_OPMO_DRV_HYB		Init- und Ersatzwert siehe ID 55_328",non-FS,"Anzeige_Betriebsart_Antrieb_Hybrid  
DISP_OPMO_DRV_HYB to INIT and replacement value see ID 55_328",TBD
unchanged,CON,40_14065,Detaillierte Beschreibung für die Botschaftsüberwachung und zugehörigem FSP sowie zur Gültigkeitsprüfung der in dieser Funktion verwendeten Signale auf ihre funktionsspezifischen Wertebereiche siehe Anforderung 51_9895 ff im Kapitel ‘Leistungsanzeige‘.,non-FS,"Detailed description for the message inspection and to appropriate FSP as well as for the validation of the signals to its function specific scopes, used in this function, see request 51_9895 FF in the section ` power indication `.",TBD
unchanged,NRQ,40_13975,14.8.47.3 Funktionsbeschreibung,non-FS,Function description,TBD
unchanged,CON,40_13976,Der eDRIVE-Zähler wird im FuBi[BC] berechnet.,non-FS,The edrive counter is calculated in the FuBi [BC].,TBD
unchanged,CON,40_18945,Die Reset-Logik des eDRIVE-Zählers folgt der BC-Reset-Logik und ist beschrieben im Kapitel 'Mein Fahrzeug (BC)' 51_7455.,non-FS,The RESET logic of the eDRIVE counter follows the BC-RESET-logic and is descriptive in the section “my vehicle (BC)” 51_7455.,TBD
unchanged,CON,40_13977,Die Anzeige des eDRIVE-Zählers besteht aus folgenden Elementen:,non-FS,The display of the eDRIVE counter consists of the following items:,TBD
unchanged,CON,40_13978,"eDRIVE-Symbol ' '
eDRIVE Wegstrecke und Einheit in [km] oder [mi]
eDRIVE-Designsteg",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>EDRIVE symbol ''
eDRIVE distance and unit in [km] or [mi]
EDRIVE Designsteg",TBD
unchanged,CON,40_13979,"z.B.:  
160614_VSN_Revision 32739: /ID7/Kombi/ED/High/PHEV_Betriebsstrategie_Electric/",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>e.g.:  
160614_VSN_Revision 32739: /ID7/Kombi/ED/High/PHEV_Betriebsstrategie_Electric/",TBD
unchanged,CON,40_21370,"eDRIVE-Schriftzug   
eDRIVE Wegstrecke und Einheit in [km] oder [mi]",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>EDRIVE font   
eDRIVE distance and unit in [km] or [mi]",TBD
unchanged,CON,40_21371,"Beispieldarstellung:
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Example representation:,TBD
unchanged,CON,40_18946,Mit der Kodiervariablen HMI_EDRIVE_COUNTER_ENABLE = 1 wird der eDRIVE-Zähler angezeigt.,non-FS,With the coding variable HMI_EDRIVE_COUNTER_ENABLE = 1 is displayed the eDRIVE counter.,TBD
unchanged,CON,40_13988,"Der eDRIVE-Zähler wird angezeigt, wenn folgende Bedingungen erfüllt sind:",non-FS,"The edrive counter is displayed, if the following conditions are fulfilled:",TBD
unchanged,CON,40_18835,"Electric-Ansicht = 1 (s.a. 51_18588) 
ODER 
(Hybrid-Ansicht = 1 (s.a. 51_18586) UND 'beruhigte Modus inaktiv') ",non-FS,"Electric view = 1 (S.A. 51_18588) 
OR 
(Hybrid view = 1 (S.A. 51_18586) AND “calmed mode down inactively”)",TBD
unchanged,CON,40_18947,"UND
HMI_EDRIVE_COUNTER_ENABLE = 1 ",non-FS,"AND
HMI_EDRIVE_COUNTER_ENABLE = 1",TBD
unchanged,CON,40_18948,"UND
ab FAHREN / PRUEFEN",non-FS,"AND
starting from DRIVING/CHECKING",TBD
unchanged,CON,40_14008,ansonsten keine Anzeige des eDRIVE-Zählers.,non-FS,otherwise no display of the eDRIVE counter.,TBD
unchanged,CON,40_21379,Die Darstellung des eDRIVE-Zählers erfolgt im KVA/EVA-Widget.,non-FS,The representation of the eDRIVE counter takes place in the KVA/EVA Widget.,TBD
unchanged,NRQ,40_13991,14.8.47.3.1 eDRIVE Wegstrecke und Einheit,non-FS,eDRIVE distance and unit,TBD
unchanged,CON,40_13994,Der eDRIVE-Zähler wird mit fünf Vorkommastellen und einer Nachkommastelle angezeigt.,non-FS,The edrive counter is displayed with five integer digits and a post-decimal position.,TBD
unchanged,CON,40_13995,"Anzeigebereich: 0,0 ... 99999,9 [km] bzw [mi]",non-FS,"Normal range: 0,0… 99999.9 [km] or [mi]",TBD
unchanged,CON,40_13997,Ab dem Wert 100000 wird der eDRIVE-Zähler wird mit sechs Vorkommastellen und ohne Nachkommastelle angezeigt.,non-FS,Starting from the value 100000 the eDRIVE counter is displayed with six integer digits and without post-decimal position.,TBD
unchanged,CON,40_13998,Anzeigebereich: 100000 ... 999999 [km] bzw [mi],non-FS,Normal range: 100000… 999999 [km] or [mi],TBD
unchanged,CON,40_13996,Führende Nullen werden nicht dargestellt.,non-FS,Leading zeros are not represented.,TBD
unchanged,CON,40_13990,Abhängig der PIA Einheit wird die Einheit der eDRIVE Wegstrecke in [km] bzw. [mi] dargestellt. ,non-FS,Dependently the PIA unit is represented the unit eDRIVE of the distance in [km] or [mi].,TBD
unchanged,NRQ,40_13992,14.8.47.3.2 eDRIVE-Zähler Farbumschlag ,non-FS,EDRIVE counter color change,TBD
unchanged,CON,40_13980,"Der eDRIVE-Zähler (eDRIVE Wegstrecke und Einheit, eDRIVE-Symbol ' ') verändert seine Farbe abhängig folgender Bedingungen:",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>The edrive counter (eDRIVE distance and unit, eDRIVE symbol '') changes its color of the dependently following conditions:",TBD
unchanged,CON,40_13981,elektrisch Fahren (z.B. blau),non-FS,electrically driving (e.g. blue),TBD
unchanged,CON,40_13985,"(Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x0xx xxxx (VM aus, elektrisches Fahren)) UND (ab FAHREN)",non-FS,"(Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x0xx xxxx (VM out, electrical driving)) AND (starting from DRIVING)",TBD
unchanged,NRQ,40_13983,"z.B.:  
160614_VSN_Revision 32739: /ID7/Kombi/ED/High/PHEV_Betriebsstrategie_Electric/",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>e.g.:  
160614_VSN_Revision 32739: /ID7/Kombi/ED/High/PHEV_Betriebsstrategie_Electric/",TBD
unchanged,CON,40_13982,verbrennungsmotorisch Fahren (z.B. grau),non-FS,combustion-motor driving (e.g. grey),TBD
unchanged,CON,40_13986,Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x1xx xxxx (VM ein) ODER (unterhalb FAHREN),non-FS,Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x1xx xxxx (VM) OR (below DRIVING),TBD
unchanged,NRQ,40_13984,"z.B.:  
160614_VSN_Revision 32743: /ID7/Kombi/ED/High/PHEV_Betriebsstrategie_Hybrid/",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>e.g.:  
160614_VSN_Revision 32743: /ID7/Kombi/ED/High/PHEV_Betriebsstrategie_Hybrid/",TBD
unchanged,CON,40_21372,"Der eDRIVE-Zähler (eDRIVE Wegstrecke und Einheit, eDRIVE-Symbol   ) verändert seine Farbe abhängig folgender Bedingungen:",non-FS,"<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>The edrive counter (eDRIVE distance and unit, eDRIVE symbol) changes its color of the dependently following conditions:",TBD
unchanged,CON,40_21373,elektrisch Fahren (z.B. blau),non-FS,electrically driving (e.g. blue),TBD
unchanged,CON,40_21374,"(Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x0xx xxxx (VM aus, elektrisches Fahren)) UND (ab FAHREN)",non-FS,"(Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x0xx xxxx (VM out, electrical driving)) AND (starting from DRIVING)",TBD
unchanged,NRQ,40_21375,z.B.: ,non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>e.g.:,TBD
unchanged,CON,40_21376,verbrennungsmotorisch Fahren (z.B. grau),non-FS,combustion-motor driving (e.g. grey),TBD
unchanged,CON,40_21377,Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x1xx xxxx (VM ein) ODER (unterhalb FAHREN),non-FS,Anzeige_Betriebsart_Antrieb_Hybrid = 0xxx x1xx xxxx (VM) OR (below DRIVING),TBD
unchanged,NRQ,40_21378,z.B.: ,non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>e.g.:,TBD
unchanged,NRQ,40_23818,"14.8.48 Widget Lifetime Durchschnittsverbrauch, Momentanverbrauch",non-FS,"Widget Lifetime average consumption, momentary consumption",TBD
unchanged,NRQ,40_23819,"Querverweis "" Widget Lifetime Durchschnittsverbrauch, Momentanverbrauch""",non-FS,"Cross reference “Widget Lifetime average consumption, momentary consumption”",TBD
unchanged,NRQ,40_23821,14.8.48.1 CAF,non-FS,CAF,TBD
unchanged,CON,40_23822,"WIDGET_LIFETIME_DVERBRAUCH_MVERBRAUCH_ENABLE, siehe 51_22665
		",non-FS,"WIDGET_LIFETIME_DVERBRAUCH_MVERBRAUCH_ENABLE, see 51_22665",TBD
unchanged,CON,40_23824,"PIA_WIDGET_LIFETIME_DVERBRAUCH_MVERBRAUCH, siehe 51_22666
		",non-FS,"PIA_WIDGET_LIFETIME_DVERBRAUCH_MVERBRAUCH, see 51_22666",TBD
unchanged,NRQ,40_23825,14.8.48.2 Funktionsbeschreibung,non-FS,Function description,TBD
unchanged,CON,40_23820,"Bei Verbau mit Head units, welche die Multiple Resetlogik noch nicht unterstützen, ist es notwendig, dass der Lifetime- Durchschnittsverbrauch und der Momentanverbrauch als Kombiwidget angezeigt wird. ",non-FS,"With sheeting with Head units, which do not support the multiple RESET logic yet, it is necessary that the Lifetime average consumption and the momentary consumption is displayed as Kombiwidget.",TBD
unchanged,CON,40_23823,In dem Widget wird der Lifetime-Durchschnittsverbrauch und der ungedeckelte Momentanverbrauch angezeigt.,non-FS,In the Widget the Lifetime average consumption and the ungedeckelte momentary consumption are displayed.,TBD
unchanged,CON,40_23830,Die Aktivierung des Widgets ist abhängig von siehe 51_24255 ff.,non-FS,The activation of the Widgets is dependent on sees 51_24255 FF.,TBD
unchanged,CON,40_23826,Die anzuzeigenden Werte werden im Fubi-Modul BC berechnet.,non-FS,The values which can be displayed are calculated in the Fubi module BC.,TBD
unchanged,CON,40_23827,Die Verbräuche werden als mumerische Werte dargestellt. ,non-FS,The consumptions are represented as mumerische values.,TBD
unchanged,CON,40_23828,"Unterhalb von 100 l/100km erfolgt die Anzeige der Verbrauchswerte zweistellig, ohne führende 0, mit einer Nachkommastelle.",non-FS,"Below 100 l/100km takes place the display of the values consumed to two places, without leading 0, with a post-decimal position.",TBD
unchanged,CON,40_23829,"Ab einschließlich 100 l/100km erfolgt die Anzeige der Verbrauchswerte als ""Unendlich-Zeichen"" .",non-FS,Off including 100 l/100km the display of the values consumed takes place as “infinite character”.,TBD
unchanged,NRQ,40_85,,non-FS,,TBD
unchanged,CON,40_20358,Der VZA ist in M Fahrzeugen nicht verfügbar,non-FS,The VZA is not available in M vehicles,TBD
unchanged,NRQ,40_2619,14.8.50 Logo-Darstellung,non-FS,Logo representation,TBD
unchanged,NRQ,40_18394,Querverweis Zielmarker,non-FS,Cross reference target marker,TBD
unchanged,NRQ,40_11059,14.8.50.1 Eingangsdaten,non-FS,Input data,TBD
unchanged,NRQ,40_11061,14.8.50.1.1 CAF,non-FS,CAF,TBD
unchanged,CON,40_20098,"KL_LAYOUT
Detaillierte Beschreibung siehe Anforderung 51_17462",non-FS,"KL_LAYOUT
Detailed description see request 51_17462",TBD
unchanged,CON,40_16489,"LOGO_SCHRIFTZUG
Größe: 8 Bit 	Wertebereich: ENUM 	Default:	0h",non-FS,"LOGO_SCHRIFTZUG
Size: 8-bit scope: ENUM default: 0h",TBD
unchanged,CON,40_16490,0h = keine Darstellung eines Logos,non-FS,0h = no representation of a logo,TBD
unchanged,CON,40_16491,01h = Darstellung eDRIVE-Logo,non-FS,01h = representation eDRIVE logo,TBD
unchanged,CON,40_16492,"02h = Darstellung ""M""",non-FS,02h = representation “M”,TBD
unchanged,CON,40_16493,"03h = Darstellung ""M550i""",non-FS,03h = representation “M550i”,TBD
unchanged,CON,40_16494,"04h = Darstellung ""M550d""",non-FS,04h = representation “M550d”,TBD
unchanged,CON,40_16495,"05h = Darstellung ""M40d""",non-FS,05h = representation “M40d”,TBD
unchanged,CON,40_16496,"06h = Darstellung ""M760i""",non-FS,06h = representation “M760i”,TBD
unchanged,CON,40_16497,"07h = Darstellung ""M760Li""",non-FS,07h = representation “M760Li”,TBD
unchanged,CON,40_16498,"08h = Darstellung ""M40i""",non-FS,08h = representation “M40i”,TBD
unchanged,CON,40_20080,"09h = Darstellung ""M135i""",non-FS,09h = representation “M135i”,TBD
unchanged,CON,40_20081,"0Ah = Darstellung ""M240i""",non-FS,0Ah = representation “M240i”,TBD
unchanged,CON,40_20082,"0Bh = Darstellung ""M340i""",non-FS,0Bh = representation “M340i”,TBD
unchanged,CON,40_20083,"0Ch = Darstellung ""M340d""",non-FS,0Ch = representation “M340d”,TBD
unchanged,CON,40_20084,"0Dh = Darstellung ""M440i""",non-FS,0Dh = representation “M440i”,TBD
unchanged,CON,40_20085,"0Eh = Darstellung ""M440d""",non-FS,0Eh = representation “M440d”,TBD
unchanged,CON,40_20088,"11h = Darstellung ""M35i""",non-FS,11h = representation “M35i”,TBD
unchanged,CON,40_20089,"12h = Darstellung ""M50i""",non-FS,12h = representation “M50i”,TBD
unchanged,CON,40_20090,"13h = Darstellung ""M50d""",non-FS,13h = representation “M50d”,TBD
unchanged,CON,40_21004,"15h = Darstellung ""M"" Schriftzug",non-FS,15h = representation “M” font,TBD
unchanged,CON,40_21005,"16h = Darstellung ""M2"" Schriftzug",non-FS,16h = representation “M2” font,TBD
unchanged,CON,40_21006,"17h = Darstellung ""M3"" Schirftzug",non-FS,17h = representation “M3” Schirftzug,TBD
unchanged,CON,40_21007,"18h = Darstellung ""M4"" Schriftzug",non-FS,18h = representation “M4” font,TBD
unchanged,CON,40_21008,"19h = Darstellung ""M5"" Schriftzug",non-FS,19h = representation “M5” font,TBD
unchanged,CON,40_21009,"1Ah = Darstellung ""M6"" Schriftzug",non-FS,1Ah = representation “M6” font,TBD
unchanged,CON,40_21010,"1Bh = Darstellung ""M8"" Schriftzug",non-FS,1Bh = representation “M8” font,TBD
unchanged,CON,40_21011,"1Ch = Darstellung ""X3M"" Schriftzug",non-FS,1Ch = representation “X3M” font,TBD
unchanged,CON,40_21012,"1Dh = Darstellung ""X4M"" Schriftzug",non-FS,1Dh = representation “X4M” font,TBD
unchanged,CON,40_21013,"1Eh = Darstellung ""X5M"" Schriftzug",non-FS,1Eh = representation “X5M” font,TBD
unchanged,CON,40_21014,"1Fh = Darstellung ""X6M"" Schriftzug",non-FS,1Fh = representation “X6M” font,TBD
unchanged,CON,40_21015,"20h = Darstellung ""M2 Competition"" Schriftzug",non-FS,20h = representation “M2 Competition” font,TBD
unchanged,CON,40_21016,"21h = Darstellung ""M3 Competition"" Schriftzug",non-FS,21h = representation “M3 Competition” font,TBD
unchanged,CON,40_21017,"22h = Darstellung ""M4 Competition"" Schriftzug",non-FS,22h = representation “M4 Competition” font,TBD
unchanged,CON,40_21018,"23h = Darstellung ""M5 Competition"" Schriftzug",non-FS,23h = representation “M5 Competition” font,TBD
unchanged,CON,40_21019,"24h = Darstellung ""M6 Competition"" Schriftzug",non-FS,24h = representation “M6 Competition” font,TBD
unchanged,CON,40_21020,"25h = Darstellung ""M8 Competition"" Schriftzug",non-FS,25h = representation “M8 Competition” font,TBD
unchanged,CON,40_21021,"26h = Darstellung ""X3M Competition"" Schriftzug",non-FS,26h = representation “X3M Competition” font,TBD
unchanged,CON,40_21022,"27h = Darstellung ""X4M Competition"" Schriftzug",non-FS,27h = representation “X4M Competition” font,TBD
unchanged,CON,40_21023,"28h = Darstellung ""X5M Competition"" Schriftzug",non-FS,28h = representation “X5M Competition” font,TBD
unchanged,CON,40_21024,"29h = Darstellung ""X6M Competition"" Schriftzug",non-FS,29h = representation “X6M Competition” font,TBD
unchanged,CON,40_21025,"2Ah = Darstellung ""M2 GTS"" Schriftzug",non-FS,2Ah = representation “M2 GTS” font,TBD
unchanged,CON,40_21026,"2Bh = Darstellung ""M3 GTS"" Schriftzug",non-FS,2Bh = representation “M3 GTS” font,TBD
unchanged,CON,40_21027,"2Ch = Darstellung ""M4 GTS"" Schriftzug",non-FS,2Ch = representation “M4 GTS” font,TBD
unchanged,CON,40_21028,2Dh = Darstellung M2 SoMo Schriftzug,non-FS,2Dh = representation M2 SoMo font,TBD
unchanged,CON,40_21029,2Eh = Darstellung M3 SoMo Schriftzug,non-FS,2Eh = representation M3 SoMo font,TBD
unchanged,CON,40_21030,2Fh = Darstellung M4 SoMo Schriftzug,non-FS,2Fh = representation M4 SoMo font,TBD
unchanged,CON,40_23919,"30h = Darstellung ""X7 M50i""",non-FS,30h = representation “X7 M50i”,TBD
unchanged,CON,40_23920,"31h = Darstellung ""X7 M50d""",non-FS,31h = representation “X7 M50d”,TBD
unchanged,CON,40_23921,"32h = Darstellung ""X5 M50i""",non-FS,32h = representation “X5 M50i”,TBD
unchanged,CON,40_23922,"33h = Darstellung ""X5 M50d""",non-FS,33h = representation “X5 M50d”,TBD
unchanged,CON,40_23923,"34h = Darstellung ""X6 M50i""",non-FS,34h = representation “X6 M50i”,TBD
unchanged,CON,40_23924,"35h = Darstellung ""X6 M50d""",non-FS,35h = representation “X6 M50d”,TBD
unchanged,CON,40_23925,"36h = Darstellung ""Z4 M40i""",non-FS,36h = representation “Z4 M40i”,TBD
unchanged,CON,40_23929,"37h = Darstellung ""X3 M40i""",non-FS,37h = representation “X3 M40i”,TBD
unchanged,CON,40_23930,"38h = Darstellung ""X3 M40d""",non-FS,38h = representation “X3 M40d”,TBD
unchanged,CON,40_23931,"39h = Darstellung ""X4 M40i""",non-FS,39h = representation “X4 M40i”,TBD
unchanged,CON,40_23932,"3Ah = Darstellung ""X4 M50d""",non-FS,3Ah = representation “X4 M50d”,TBD
unchanged,CON,40_23933,"3Bh = Darstellung ""M235i""",non-FS,3Bh = representation “M235i”,TBD
unchanged,CON,40_23934,"3Ch = Darstellung ""X2 M35i""",non-FS,3Ch = representation “X2 M35i”,TBD
unchanged,CON,40_24173,"3Dh = Darstellung ""V12""",non-FS,3Dh = representation “V12”,TBD
unchanged,CON,40_16499,Alle nicht definierten Werte werden als 0h (keine Darstellung eines Logo-Schriftzugs) interpretiert.,non-FS,All not defined values are interpreted as 0h (no representation of a logo font).,TBD
unchanged,NRQ,40_11060,14.8.50.2 Funktionsbeschreibung,non-FS,Function description,TBD
unchanged,CON,40_20093,"Die Position der Darstellung des Logos, ist abhängig von einem verbauten DCS (Kodiervariablen KL_LAYOUT).",non-FS,"The item of the representation of the logo, depends on a blocked DCS (coding variable KL_LAYOUT).",TBD
unchanged,CON,40_20096,KL_LAYOUT = 0: Darstellung erfolgt im Display zwischen den Tuben ganz oben im Bereich der DCS.,non-FS,KL_LAYOUT = 0: Representation takes place in the display between the tubes right at the top in the area of the DCS.,TBD
unchanged,CON,40_20097,KL_LAYOUT = 1: Darstellung erfolgt im Display zwischen den Tuben unterhalb der DCS.,non-FS,KL_LAYOUT = 1: Representation takes place in the display between the tubes below the DCS.,TBD
unchanged,CON,40_24175,Das Logo wird mittig im oberen Bereich des Displays entsprechend der Pirotitätensteuerung (siehe 51_17039 ff) dargestellt.,non-FS,The logo is represented centrically within the upper area according to the displays the Pirotitätensteuerung (see 51_17039 FF).,TBD
unchanged,CON,40_16511,"Die Anzeige erfolgt falls:

LOGO_SCHRIFTZUG gemäß 51_16489 ff definierten Wert entspricht
UND
PWF-Zustand >= WOHNEN",non-FS,"The display takes place if:

LOGO_SCHRIFTZUG in accordance with 51_16489 FF corresponds to defined value
AND
PWF state >= LIVING",TBD
unchanged,CON,40_16513,Welche Grafik darzustellen ist ist abhängig von der Codiervariablen LOGO_SCHRIFTZUG und  in 51_16489 ff definiert.,non-FS,Which graphics to represent are defined dependently on the coding variable LOGO_SCHRIFTZUG and in 51_16489 FF.,TBD
unchanged,CON,40_16516,"Beispielbild (Stand 01.09.2016):
 ",non-FS,<<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>><<< TRANSLATION MUST BE UPDATED >>>Example image (status 01.09.2016):,TBD
